Axial load,Potentiometer reading
31.4097,47.8135
31.4118,47.8117
31.4140,47.8099
31.4162,47.8081
31.4183,47.8063
31.4205,47.8045
31.4226,47.8027
31.4248,47.8009
31.4269,47.7990
31.4290,47.7972
31.4312,47.7954
31.4333,47.7936
31.4354,47.7918
31.4375,47.7900
31.4396,47.7882
31.4417,47.7864
31.4438,47.7846
31.4459,47.7828
31.4480,47.7810
31.4501,47.7792
31.4522,47.7774
31.4543,47.7756
31.4564,47.7738
31.4584,47.7720
31.4605,47.7702
31.4625,47.7684
31.4646,47.7666
31.4667,47.7648
31.4687,47.7630
31.4707,47.7612
31.4728,47.7594
31.4748,47.7576
31.4769,47.7558
31.4789,47.7540
31.4809,47.7522
31.4829,47.7504
31.4849,47.7485
31.4869,47.7467
31.4889,47.7449
31.4909,47.7431
31.4929,47.7413
31.4949,47.7395
31.4969,47.7377
31.4989,47.7359
31.5009,47.7341
31.5029,47.7323
31.5048,47.7305
31.5068,47.7287
31.5088,47.7269
31.5107,47.7251
31.5127,47.7233
31.5146,47.7215
31.5166,47.7197
31.5185,47.7179
31.5205,47.7161
31.5224,47.7143
31.5243,47.7125
31.5263,47.7107
31.5282,47.7089
31.5301,47.7071
31.5320,47.7053
31.5339,47.7035
31.5359,47.7017
31.5378,47.6999
31.5397,47.6980
31.5416,47.6962
31.5434,47.6944
31.5453,47.6926
31.5472,47.6908
31.5491,47.6890
31.5510,47.6872
31.5529,47.6854
31.5547,47.6836
31.5566,47.6818
31.5585,47.6800
31.5603,47.6782
31.5622,47.6764
31.5640,47.6746
31.5659,47.6728
31.5677,47.6710
31.5696,47.6692
31.5714,47.6674
31.5732,47.6656
31.5751,47.6638
31.5769,47.6620
31.5787,47.6602
31.5805,47.6584
31.5823,47.6566
31.5841,47.6548
31.5860,47.6530
31.5878,47.6512
31.5896,47.6494
31.5914,47.6475
31.5931,47.6457
31.5949,47.6439
31.5967,47.6421
31.5985,47.6403
31.6003,47.6385
31.6021,47.6367
31.6038,47.6349
31.6056,47.6331
31.6074,47.6313
31.6091,47.6295
31.6109,47.6277
31.6126,47.6259
31.6144,47.6241
31.6161,47.6223
31.6179,47.6205
31.6196,47.6187
31.6214,47.6169
31.6231,47.6151
31.6248,47.6133
31.6266,47.6115
31.6283,47.6097
31.6300,47.6079
31.6317,47.6061
31.6334,47.6043
31.6351,47.6025
31.6369,47.6007
31.6386,47.5989
31.6403,47.5971
31.6420,47.5952
31.6437,47.5934
31.6453,47.5916
31.6470,47.5898
31.6487,47.5880
31.6504,47.5862
31.6521,47.5844
31.6538,47.5826
31.6554,47.5808
31.6571,47.5790
31.6588,47.5772
31.6604,47.5754
31.6621,47.5736
31.6637,47.5718
31.6654,47.5700
31.6670,47.5682
31.6687,47.5664
31.6703,47.5646
31.6720,47.5628
31.6736,47.5610
31.6752,47.5592
31.6769,47.5574
31.6785,47.5556
31.6801,47.5538
31.6818,47.5520
31.6834,47.5502
31.6850,47.5484
31.6866,47.5466
31.6882,47.5447
31.6898,47.5429
31.6914,47.5411
31.6930,47.5393
31.6946,47.5375
31.6962,47.5357
31.6978,47.5339
31.6994,47.5321
31.7010,47.5303
31.7026,47.5285
31.7042,47.5267
31.7057,47.5249
31.7073,47.5231
31.7089,47.5213
31.7104,47.5195
31.7120,47.5177
31.7136,47.5159
31.7151,47.5141
31.7167,47.5123
31.7183,47.5105
31.7198,47.5087
31.7214,47.5069
31.7229,47.5051
31.7244,47.5033
31.7260,47.5015
31.7275,47.4997
31.7291,47.4979
31.7306,47.4961
31.7321,47.4943
31.7336,47.4924
31.7352,47.4906
31.7367,47.4888
31.7382,47.4870
31.7397,47.4852
31.7412,47.4834
31.7427,47.4816
31.7442,47.4798
31.7458,47.4780
31.7473,47.4762
31.7488,47.4744
31.7502,47.4726
31.7517,47.4708
31.7532,47.4690
31.7547,47.4672
31.7562,47.4654
31.7577,47.4636
31.7592,47.4618
31.7606,47.4600
31.7621,47.4582
31.7636,47.4564
31.7651,47.4546
31.7665,47.4528
31.7680,47.4510
31.7695,47.4492
31.7709,47.4474
31.7724,47.4456
31.7738,47.4438
31.7753,47.4419
31.7767,47.4401
31.7782,47.4383
31.7796,47.4365
31.7811,47.4347
31.7825,47.4329
31.7839,47.4311
31.7854,47.4293
31.7868,47.4275
31.7882,47.4257
31.7896,47.4239
31.7911,47.4221
31.7925,47.4203
31.7939,47.4185
31.7953,47.4167
31.7967,47.4149
31.7982,47.4131
31.7996,47.4113
31.8010,47.4095
31.8024,47.4077
31.8038,47.4059
31.8052,47.4041
31.8066,47.4023
31.8080,47.4005
31.8094,47.3987
31.8107,47.3969
31.8121,47.3951
31.8135,47.3933
31.8149,47.3915
31.8163,47.3896
31.8176,47.3878
31.8190,47.3860
31.8204,47.3842
31.8218,47.3824
31.8231,47.3806
31.8245,47.3788
31.8259,47.3770
31.8272,47.3752
31.8286,47.3734
31.8299,47.3716
31.8313,47.3698
31.8326,47.3680
31.8340,47.3662
31.8353,47.3644
31.8367,47.3626
31.8380,47.3608
31.8394,47.3590
31.8407,47.3572
31.8420,47.3554
31.8434,47.3536
31.8447,47.3518
31.8460,47.3500
31.8474,47.3482
31.8487,47.3464
31.8500,47.3446
31.8513,47.3428
31.8526,47.3410
31.8539,47.3392
31.8553,47.3373
31.8566,47.3355
31.8579,47.3337
31.8592,47.3319
31.8605,47.3301
31.8618,47.3283
31.8631,47.3265
31.8644,47.3247
31.8657,47.3229
31.8670,47.3211
31.8683,47.3193
31.8696,47.3175
31.8708,47.3157
31.8721,47.3139
31.8734,47.3121
31.8747,47.3103
31.8760,47.3085
31.8772,47.3067
31.8785,47.3049
31.8798,47.3031
31.8811,47.3013
31.8823,47.2995
31.8836,47.2977
31.8849,47.2959
31.8861,47.2941
31.8874,47.2923
31.8886,47.2905
31.8899,47.2887
31.8911,47.2869
31.8924,47.2850
31.8936,47.2832
31.8949,47.2814
31.8961,47.2796
31.8974,47.2778
31.8986,47.2760
31.8999,47.2742
31.9011,47.2724
31.9023,47.2706
31.9036,47.2688
31.9048,47.2670
31.9060,47.2652
31.9072,47.2634
31.9085,47.2616
31.9097,47.2598
31.9109,47.2580
31.9121,47.2562
31.9133,47.2544
31.9146,47.2526
31.9158,47.2508
31.9170,47.2490
31.9182,47.2472
31.9194,47.2454
31.9206,47.2436
31.9218,47.2418
31.9230,47.2400
31.9242,47.2382
31.9254,47.2364
31.9266,47.2345
31.9278,47.2327
31.9290,47.2309
31.9302,47.2291
31.9314,47.2273
31.9325,47.2255
31.9337,47.2237
31.9349,47.2219
31.9361,47.2201
31.9373,47.2183
31.9384,47.2165
31.9396,47.2147
31.9408,47.2129
31.9420,47.2111
31.9431,47.2093
31.9443,47.2075
31.9455,47.2057
31.9466,47.2039
31.9478,47.2021
31.9489,47.2003
31.9501,47.1985
31.9513,47.1967
31.9524,47.1949
31.9536,47.1931
31.9547,47.1913
31.9559,47.1895
31.9570,47.1877
31.9581,47.1859
31.9593,47.1841
31.9604,47.1822
31.9616,47.1804
31.9627,47.1786
31.9638,47.1768
31.9650,47.1750
31.9661,47.1732
31.9672,47.1714
31.9684,47.1696
31.9695,47.1678
31.9706,47.1660
31.9717,47.1642
31.9729,47.1624
31.9740,47.1606
31.9751,47.1588
31.9762,47.1570
31.9773,47.1552
31.9784,47.1534
31.9796,47.1516
31.9807,47.1498
31.9818,47.1480
31.9829,47.1462
31.9840,47.1444
31.9851,47.1426
31.9862,47.1408
31.9873,47.1390
31.9884,47.1372
31.9895,47.1354
31.9906,47.1336
31.9917,47.1318
31.9928,47.1299
31.9938,47.1281
31.9949,47.1263
31.9960,47.1245
31.9971,47.1227
31.9982,47.1209
31.9993,47.1191
32.0003,47.1173
32.0014,47.1155
32.0025,47.1137
32.0036,47.1119
32.0046,47.1101
32.0057,47.1083
32.0068,47.1065
32.0079,47.1047
32.0089,47.1029
32.0100,47.1011
32.0110,47.0993
32.0121,47.0975
32.0132,47.0957
32.0142,47.0939
32.0153,47.0921
32.0163,47.0903
32.0174,47.0885
32.0184,47.0867
32.0195,47.0849
32.0205,47.0831
32.0216,47.0813
32.0226,47.0795
32.0237,47.0777
32.0247,47.0758
32.0258,47.0740
32.0268,47.0722
32.0278,47.0704
32.0289,47.0686
32.0299,47.0668
32.0309,47.0650
32.0320,47.0632
32.0330,47.0614
32.0340,47.0596
32.0351,47.0578
32.0361,47.0560
32.0371,47.0542
32.0381,47.0524
32.0391,47.0506
32.0402,47.0488
32.0412,47.0470
32.0422,47.0452
32.0432,47.0434
32.0442,47.0416
32.0452,47.0398
32.0462,47.0380
32.0473,47.0362
32.0483,47.0344
32.0493,47.0326
32.0503,47.0308
32.0513,47.0290
32.0523,47.0272
32.0533,47.0254
32.0543,47.0235
32.0553,47.0217
32.0563,47.0199
32.0573,47.0181
32.0583,47.0163
32.0592,47.0145
32.0602,47.0127
32.0612,47.0109
32.0622,47.0091
32.0632,47.0073
32.0642,47.0055
32.0652,47.0037
32.0661,47.0019
32.0671,47.0001
32.0681,46.9983
32.0691,46.9965
32.0700,46.9947
32.0710,46.9929
32.0720,46.9911
32.0730,46.9893
32.0739,46.9875
32.0749,46.9857
32.0759,46.9839
32.0768,46.9821
32.0778,46.9803
32.0788,46.9785
32.0797,46.9767
32.0807,46.9749
32.0816,46.9731
32.0826,46.9712
32.0836,46.9694
32.0845,46.9676
32.0855,46.9658
32.0864,46.9640
32.0874,46.9622
32.0883,46.9604
32.0893,46.9586
32.0902,46.9568
32.0912,46.9550
32.0921,46.9532
32.0930,46.9514
32.0940,46.9496
32.0949,46.9478
32.0959,46.9460
32.0968,46.9442
32.0977,46.9424
32.0987,46.9406
32.0996,46.9388
32.1005,46.9370
32.1015,46.9352
32.1024,46.9334
32.1033,46.9316
32.1042,46.9298
32.1052,46.9280
32.1061,46.9262
32.1070,46.9244
32.1079,46.9226
32.1088,46.9208
32.1098,46.9190
32.1107,46.9171
32.1116,46.9153
32.1125,46.9135
32.1134,46.9117
32.1143,46.9099
32.1152,46.9081
32.1162,46.9063
32.1171,46.9045
32.1180,46.9027
32.1189,46.9009
32.1198,46.8991
32.1207,46.8973
32.1216,46.8955
32.1225,46.8937
32.1234,46.8919
32.1243,46.8901
32.1252,46.8883
32.1261,46.8865
32.1270,46.8847
32.1279,46.8829
32.1288,46.8811
32.1297,46.8793
32.1305,46.8775
32.1314,46.8757
32.1323,46.8739
32.1332,46.8721
